Ns,N,Ms,qimp,himp,EInt,EImp,E,file
5,3,6,-1,0.2,2.092250303252968,2.244539378872865,4.336789682125833,wf/hspqm1h20Ns5N3Ms6.h5
6,4,8,-1,10.0,4.38651963624518,0.5360050063750027,4.922524642620182,wf/hspqm1h1000Ns6N4Ms8.h5
5,3,6,-1,0.1,2.0948905872317716,2.332764122817637,4.427654710049409,wf/hspqm1h10Ns5N3Ms6.h5
6,4,8,-1,5.0,4.386569557788489,0.9310543028254159,5.317623860613907,wf/hspqm1h500Ns6N4Ms8.h5
5,3,6,-1,0.0,2.0974813773727874,2.41934914826147,4.516830525634257,wf/hspqm1h0Ns5N3Ms6.h5
6,4,8,-1,2.0,4.389560206194773,1.6695989521588017,6.059159158353575,wf/hspqm1h200Ns6N4Ms8.h5
6,4,8,-1,1.0,4.413943780586521,2.239234791098813,6.653178571685335,wf/hspqm1h100Ns6N4Ms8.h5
6,4,8,-1,0.5,4.463654271589444,2.636781796697155,7.1004360682866015,wf/hspqm1h50Ns6N4Ms8.h5
6,4,8,-1,0.2,4.500306168242205,2.91564709379761,7.415953262039815,wf/hspqm1h20Ns6N4Ms8.h5
6,4,8,-1,0.1,4.510752668368497,3.0131743740556782,7.523927042424174,wf/hspqm1h10Ns6N4Ms8.h5
6,4,8,-1,0.0,4.519870192293355,3.1090252417794457,7.628895434072801,wf/hspqm1h0Ns6N4Ms8.h5
6,4,7,0,0,4.649144506287361,0,4.649144506287361,wf/rNoImpNs6N4Ms7.h5
6,4,7,-1,10.0,4.649144506287362,0.5299378182820972,5.179082324569459,wf/hspqm1h1000Ns6N4Ms7.h5
6,4,7,-1,5.0,4.649144506287362,0.9104050494920952,5.559549555779457,wf/hspqm1h500Ns6N4Ms7.h5
6,4,7,-1,2.0,4.649144506287362,1.5905562027557774,6.239700709043138,wf/hspqm1h200Ns6N4Ms7.h5
5,3,5,0,0,2.0661375661375656,0,2.0661375661375656,wf/rNoImpNs5N3Ms5.h5
6,4,7,-1,1.0,4.649144506287362,2.101465196099145,6.750609702386505,wf/hspqm1h100Ns6N4Ms7.h5
6,4,7,-1,0.5,4.649144506287362,2.482315043697196,7.131459549984557,wf/hspqm1h50Ns6N4Ms7.h5
6,4,7,-1,0.2,4.649144506287362,2.7596112664934607,7.408755772780822,wf/hspqm1h20Ns6N4Ms7.h5
6,4,7,-1,0.1,4.649144506287362,2.8567610412360906,7.505905547523452,wf/hspqm1h10Ns6N4Ms7.h5
6,4,7,-1,0.0,4.649144506287362,2.9523809523809526,7.601525458668313,wf/hspqm1h0Ns6N4Ms7.h5
5,3,5,-1,10.0,2.066139005561465,0.36695853309807214,2.4330975386595375,wf/hspqm1h1000Ns5N3Ms5.h5
6,4,6,0,0,4.649144506287363,0,4.649144506287363,wf/rNoImpNs6N4Ms6.h5
5,3,5,-1,5.0,2.0661888231546577,0.6472810192897134,2.713469842444371,wf/hspqm1h500Ns5N3Ms5.h5
5,3,5,-1,2.0,2.0689752925018547,1.1940445042969432,3.263019796798797,wf/hspqm1h200Ns5N3Ms5.h5
6,4,6,-1,10.0,4.649144506287364,0.5240975640231115,5.173242070310474,wf/hspqm1h1000Ns6N4Ms6.h5
6,4,6,-1,5.0,4.649144506287364,0.8912810365795045,5.540425542866867,wf/hspqm1h500Ns6N4Ms6.h5
5,3,5,-1,1.0,2.0896022305199353,1.6341719834393091,3.7237742139592425,wf/hspqm1h100Ns5N3Ms5.h5
5,3,5,-1,0.5,2.1287523423880916,1.953777072137165,4.082529414525256,wf/hspqm1h50Ns5N3Ms5.h5
6,4,6,-1,2.0,4.649144506287364,1.5213684051867464,6.170512911474109,wf/hspqm1h200Ns6N4Ms6.h5
5,3,5,-1,0.2,2.1577926244039656,2.1852026342764588,4.342995258680425,wf/hspqm1h20Ns5N3Ms5.h5
6,4,6,-1,1.0,4.649144506287364,1.9670367069903096,6.616181213277672,wf/hspqm1h100Ns6N4Ms6.h5
5,3,5,-1,0.1,2.166282502632804,2.2672500753558213,4.433532577988624,wf/hspqm1h10Ns5N3Ms5.h5
6,4,6,-1,0.5,4.649144506287364,2.2836010179280346,6.932745524215397,wf/hspqm1h50Ns6N4Ms6.h5
5,3,5,-1,0.0,2.173795030024232,2.3482368181049615,4.522031848129193,wf/hspqm1h0Ns5N3Ms5.h5
6,4,6,-1,0.2,4.649144506287364,2.5104283501641724,7.159572856451534,wf/hspqm1h20Ns6N4Ms6.h5
5,3,4,0,0,2.2947845804988654,0,2.2947845804988654,wf/rNoImpNs5N3Ms4.h5
6,4,6,-1,0.1,4.649144506287364,2.591723143615306,7.240867649902668,wf/hspqm1h10Ns6N4Ms6.h5
5,3,4,-1,10.0,2.294784580498865,0.3614455432616278,2.6562301237604933,wf/hspqm1h1000Ns5N3Ms4.h5
5,3,4,-1,5.0,2.294784580498865,0.6288379116006818,2.9236224920995473,wf/hspqm1h500Ns5N3Ms4.h5
6,4,6,-1,0.0,4.649144506287364,2.675324675324676,7.324469181612038,wf/hspqm1h0Ns6N4Ms6.h5
5,3,4,-1,2.0,2.294784580498865,1.1254787034148077,3.4202632839136733,wf/hspqm1h200Ns5N3Ms4.h5
5,3,4,-1,1.0,2.294784580498865,1.5163528486493663,3.8111374291482316,wf/hspqm1h100Ns5N3Ms4.h5
5,3,4,-1,0.5,2.294784580498865,1.8190007631864389,4.113785343685304,wf/hspqm1h50Ns5N3Ms4.h5
5,3,4,-1,0.2,2.294784580498865,2.0458445987259966,4.3406291792248615,wf/hspqm1h20Ns5N3Ms4.h5
5,3,4,-1,0.1,2.294784580498865,2.1265305522715625,4.421315132770427,wf/hspqm1h10Ns5N3Ms4.h5
5,3,4,-1,0.0,2.294784580498865,2.2063492063492065,4.501133786848072,wf/hspqm1h0Ns5N3Ms4.h5
5,3,3,0,0,2.294784580498865,0,2.294784580498865,wf/rNoImpNs5N3Ms3.h5
5,3,3,-1,10.0,2.294784580498865,0.3560927976348239,2.6508773781336887,wf/hspqm1h1000Ns5N3Ms3.h5
5,3,3,-1,5.0,2.294784580498865,0.6114817174982248,2.9062662979970897,wf/hspqm1h500Ns5N3Ms3.h5
6,4,12,0,0,4.3865182436611,0,4.3865182436611,wf/rNoImpNs6N4Ms12.h5
5,3,3,-1,2.0,2.294784580498865,1.0633082450129858,3.358092825511851,wf/hspqm1h200Ns5N3Ms3.h5
5,3,3,-1,1.0,2.294784580498865,1.3955507535261118,3.6903353340249767,wf/hspqm1h100Ns5N3Ms3.h5
5,3,3,-1,0.5,2.294784580498865,1.6394820432055965,3.9342666237044615,wf/hspqm1h50Ns5N3Ms3.h5
